매장명,주소,전화번호
(춘)치악휴게소점,강원도 원주시 신림면 다리실2길 32 ,033-762-8129
간석오거리점,인천광역시 남동구 남동대로 931 ,032-425-0915
대구범어천로점,대구광역시 수성구 범어천로 200 ,053-759-5779
길동포유르센티점,서울특별시 강동구 진황도로 104 ,02-487-9997
고덕비즈밸리점,서울특별시 강동구 고덕비즈밸리로 38 ,.
창원팔용점,경상남도 창원시 의창구 창원대로18번길 6-8 ,.
파르나스몰점,서울특별시 강남구 테헤란로 521 ,02-3453-1024
동해묵호점,강원특별자치도 동해시 해안로 368 ,033-534-8902
충남도청점,충청남도 홍성군 홍북읍 청사로174번길 25 ,041-631-4725
신대방삼거리역점,서울특별시 동작구 상도로 60 ,02-823-2377
세종국책연구단지점,세종특별자치시 시청대로 370 ,044-865-4684
동아대 인문대점,부산광역시 사하구 낙동대로550번길 37 ,051-200-6165
경상대 느티마루점,경상남도 진주시 진주대로 501 ,.
경북대 크누라운지점,대구광역시 북구 대학로 80 ,.
국민대 성곡도서관점,서울특별시 성북구 정릉로 77 ,02-910-4954
atti-C 2023점,광주광역시 북구 용봉로 77 ,062-530-0040
경희대 경영대점,서울특별시 동대문구 경희대로 26 ,.
광주상무점,광주광역시 서구 상무연하로 16 ,062-371-7778
청주내수DI점,충청북도 청주시 청원구 내수읍 충청대로 410-19 1F-2,043-241-0517
분당미금점,경기도 성남시 분당구 미금일로90번길 24 ,031-713-7739
명동역점,서울특별시 중구 퇴계로 131 ,02-752-5925
인천굴포천역점,인천광역시 부평구 충선로209번길 49 ,070-4400-4664
대구팔달교DT점,대구광역시 서구 팔달로 3,0507-1323-9597
인천공항교통센터점,인천광역시 중구 공항로 272 ,032-743-3718
한국선원센터점,부산광역시 중구 충장대로9번길 66 ,070-4070-7506
제주애월천덕로점,제주특별자치도 제주시 애월읍 천덕로 238-1 다동 1,064-799-6667
대구장기점,대구광역시 달서구 장기로 268 ,053-522-0666
부산연산점,부산광역시 연제구 반송로 89 ,051-989-3296
김천혁신도시점,경상북도 김천시 혁신로 246 ,054-433-4333
평촌점,경기도 안양시 동안구 관평로170번길 43 ,031-385-3400
남동케이원점,인천광역시 남동구 비류대로 622 ,032-821-9110
구미CGV점,경상북도 구미시 구미중앙로 44 ,054-604-0375
왕십리역점,서울특별시 성동구 왕십리광장로 17 ,02-2200-1303
울산정자해변점,울산광역시 북구 동해안로 1544 ,052-281-0620
부산서면일번가점,부산광역시 부산진구 서면로68번길 52 ,051-819-1449
강릉안목해변점,강원특별자치도 강릉시 창해로14번길 34-1 ,070-7575-0184
경주용강DT점,경상북도 경주시 산업로 4510 ,070-7575-0185
군산수송점,"전라북도 군산시 수송북로 22 수송동 831-1,1",063-467-9500
광주운암점,광주광역시 북구 북문대로 184 ,062-531-7711
이천축산농협점,경기도 이천시 구만리로 107 ,031-635-6694
